epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,834.452,0.93461,1.34833,0.63259,0.9166,0.69884,0.65702,0.69155,0.54824,0.81599,0.54823,0.67374,0.46041,0.96138,1.51874,0.72428,1.01092,0.00155643,0.00155643,0.00155643
69,846.392,0.91098,1.30754,0.64125,0.91767,0.83926,0.573,0.66221,0.51627,0.8268,0.55609,0.64064,0.43809,0.97156,1.53892,0.73488,1.0077,0.00155478,0.00155478,0.00155478
70,858.394,0.92267,1.35261,0.66094,0.93505,0.62433,0.5647,0.6848,0.54348,0.61978,0.54737,0.66893,0.45872,0.97755,1.52525,0.71442,1.00972,0.00155313,0.00155313,0.00155313
71,870.534,0.90815,1.27824,0.62676,0.92042,0.76543,0.54148,0.61489,0.48673,0.75423,0.52568,0.59358,0.37609,0.97431,1.50696,0.73615,1.00978,0.00155148,0.00155148,0.00155148
72,882.401,0.93906,1.32809,0.66103,0.92714,0.79015,0.57285,0.67244,0.53447,0.81384,0.54199,0.65604,0.45018,0.94887,1.4891,0.73681,1.00158,0.00154983,0.00154983,0.00154983
73,894.409,0.91863,1.31255,0.64667,0.91748,0.81717,0.6124,0.78338,0.62039,0.79837,0.59199,0.75922,0.49409,0.99123,1.5001,0.7201,1.01406,0.00154818,0.00154818,0.00154818
74,907.048,0.94603,1.3472,0.64082,0.92533,0.55116,0.84188,0.76129,0.59266,0.53579,0.82128,0.74107,0.50518,0.98339,1.51033,0.72195,1.01048,0.00154653,0.00154653,0.00154653
75,919.288,0.93155,1.31148,0.6267,0.91256,0.80035,0.56978,0.64056,0.51105,0.8128,0.54318,0.6221,0.43026,0.96678,1.48859,0.71738,1.0078,0.00154488,0.00154488,0.00154488
76,931.417,0.87878,1.26282,0.61074,0.90869,0.76951,0.57046,0.64887,0.51503,0.76453,0.54965,0.62966,0.43169,0.97201,1.4853,0.71507,1.01064,0.00154323,0.00154323,0.00154323
77,943.443,0.89748,1.28376,0.65197,0.92663,0.75395,0.48201,0.6594,0.5136,0.75439,0.46934,0.6425,0.44025,0.98223,1.53128,0.71887,1.01484,0.00154157,0.00154157,0.00154157
78,955.634,0.9072,1.29205,0.63086,0.90914,0.59377,0.84926,0.75351,0.59437,0.57808,0.82858,0.73349,0.49875,0.97416,1.48395,0.72324,1.01024,0.00153992,0.00153992,0.00153992
79,967.745,0.91147,1.29622,0.61431,0.9189,0.61831,0.72886,0.74862,0.58609,0.60431,0.70889,0.73084,0.49104,0.97265,1.47515,0.69203,1.01927,0.00153827,0.00153827,0.00153827
80,979.697,0.91049,1.29871,0.61165,0.92059,0.56147,0.75551,0.72199,0.55725,0.54669,0.7366,0.70216,0.47308,0.97451,1.47597,0.69803,1.01614,0.00153662,0.00153662,0.00153662
81,991.605,0.8752,1.24298,0.60377,0.92221,0.58598,0.7882,0.69963,0.54783,0.56983,0.7692,0.67919,0.45761,0.98873,1.46978,0.70406,1.01203,0.00153497,0.00153497,0.00153497
82,1003.73,0.92682,1.29598,0.62355,0.91924,0.71738,0.74167,0.7397,0.59173,0.70763,0.72885,0.72606,0.5214,0.94935,1.48224,0.68345,1.00337,0.00153332,0.00153332,0.00153332
